Sample.Number,Year.Collected,Population,Habitat,Drainage,Sex,Age,Standard.Length,Body.Height,Caudal.Peduncle.Height,Dorsal.Fin.Base.Length,Anal.Fin.Base.Length,Head.Height,Body.Width,Head.Width,Eye.Diameter
C 104,2010,C,Stream,Embarras,f,0,25,3.3,2.1,2.8,2.47,2.78,4.8,4.8,1.6
C 84,2010,C,Stream,Embarras,f,0,37.4,6.3,3.9,4.47,4.52,4.63,5.3,6.5,2.65
C 86,2010,C,Stream,Embarras,f,0,34.7,5.5,3.3,4.54,4.21,4.21,5.1,5.3,2.3
C 88,2010,C,Stream,Embarras,f,0,32.2,5.3,3.2,3.54,3.61,3.96,4.2,5.1,2.12
C 99,2010,C,Stream,Embarras,f,0,34.54,5.63,3.84,4.59,4.8,4.22,4,3.9,2.39
C 100,2010,C,Stream,Embarras,m,0,33.99,5.6,4.38,4.18,4.2,4.19,3.6,3.7,2.54
C 150,2010,C,Stream,Embarras,m,0,24,3.7,2.1,2.2,3.2,2.7,2.3,2.8,1.4
C 151,2010,C,Stream,Embarras,m,0,24.4,3.5,3.2,2.7,3,3.9,2.2,2.8,1.8
c 85,2010,C,Stream,Embarras,m,0,23.7,3.3,3.1,2.18,2.7,2.74,4.5,4.6,1.72
C 87,2010,C,Stream,Embarras,m,0,39.2,6.7,4.3,4.72,5.14,5.13,6,5.4,2.76
C 98,2010,C,Stream,Embarras,m,0,27.17,4.23,3.87,3.16,3.5,3.17,2.7,3,1.73
C 82,2010,C,Stream,Embarras,m,1,54.8,10.7,6.5,7.18,7.7,7.53,8.8,9.6,3.46
C 83,2010,C,Stream,Embarras,m,1,48.8,9.5,5.3,6.26,6.57,6.3,7.1,7.7,3.16
CL111,2010,CL,Lake,Sangamon,f,0,38.1,7,4.6,2.6,5,4.7,5.5,5.2,3.6
CL114,2010,CL,Lake,Sangamon,f,0,34,5.8,3.8,3.3,4.1,4.4,5,4.7,2.2
CL127,2010,CL,Lake,Sangamon,f,0,31.2,6.2,4.37,4.32,4.45,4.1,4.2,3.8,2.4
CL131,2010,CL,Lake,Sangamon,f,0,34.9,6.6,4.18,4.4,4.23,4.1,4.8,4.2,2.2
CL132,2010,CL,Lake,Sangamon,f,0,32.9,5.8,3.8,3.4,3.8,4.2,4.9,4.7,2.3
CL1,2010,CL,Lake,Sangamon,f,1,41.4,8.9,4.9,3.8,4.7,5,5.7,6,3.7
CL124,2010,CL,Lake,Sangamon,f,1,33.5,7.9,3.8,2.8,4,4.5,4.9,4.7,2
CL4,2010,CL,Lake,Sangamon,f,1,39.1,6.4,4.6,3.9,4.3,4,5.7,5.1,3.3
CL7,2010,CL,Lake,Sangamon,f,1,33.1,5.9,4,2,3.5,4.1,4.9,4.3,2.2
CL8,2010,CL,Lake,Sangamon,f,1,32.5,5.6,3.3,2.9,3.6,4.1,4.9,4.5,2.2
CL117,2010,CL,Lake,Sangamon,m,0,34.2,5.9,4,3.1,4.4,4.2,4.9,4.8,2.8
CL118,2010,CL,Lake,Sangamon,m,0,34.6,7,3.2,4.8,4.92,4.5,4.9,4,2.4
CL119,2010,CL,Lake,Sangamon,m,0,32.9,6.5,3.93,4.4,4.48,4.5,4.4,4.2,2.3
CL125,2010,CL,Lake,Sangamon,m,0,31.4,6.3,4.22,4.23,5.42,4.6,4.8,3.6,2.2
CL126,2010,CL,Lake,Sangamon,m,0,37.8,7.6,4.9,4.5,4.8,4.9,5.6,5.2,2.7
CL129,2010,CL,Lake,Sangamon,m,0,33.7,6.5,3.63,3.64,4,4.8,4.5,4.3,2.3
CL130,2010,CL,Lake,Sangamon,m,0,37.7,7.7,5.1,4.2,4.7,4.9,5.3,5.2,2.5
CL133,2010,CL,Lake,Sangamon,m,0,33.1,5.8,4.18,4.55,5.48,4.3,3.9,4.2,2.2
CL134,2010,CL,Lake,Sangamon,m,0,29.3,5.5,3.3,2.8,3.9,3.8,4.6,4.5,2.4
CL135,2010,CL,Lake,Sangamon,m,0,32.9,6.4,4.18,5.4,6.2,4.5,4.3,4,2.7
CL110,2010,CL,Lake,Sangamon,m,1,36.4,8.9,4.5,3.2,4.7,4.6,5.3,5.4,2.8
CL112,2010,CL,Lake,Sangamon,m,1,41.4,8.1,5.2,4.5,5.7,5.6,5.7,5.5,2.7
CL113,2010,CL,Lake,Sangamon,m,1,31.8,5.4,3.56,4.08,5.14,3.8,4.2,3.7,2.4
CL115,2010,CL,Lake,Sangamon,m,1,38.4,8.1,4.88,5.64,5.59,5.3,5.7,4.8,2.5
CL116,2010,CL,Lake,Sangamon,m,1,37,7,4.51,4.52,5.02,4.9,5.7,4.3,2.5
CL120,2010,CL,Lake,Sangamon,m,1,38,7.6,4.6,3.7,4.7,4.8,5.5,4.9,2.6
CL121,2010,CL,Lake,Sangamon,m,1,35.6,6.4,4.46,4.57,6.28,4.5,4.5,4,2.1
CL122,2010,CL,Lake,Sangamon,m,1,31,7.8,4.5,3.8,4.5,4.8,5.4,5.1,2.5
CL123,2010,CL,Lake,Sangamon,m,1,35.9,6.8,4.44,5.82,5.02,4.7,4.8,4,2.6
CL128,2010,CL,Lake,Sangamon,m,1,34.8,7.1,4.68,4.12,4.29,4.8,4.6,4.1,2.4
CL2,2010,CL,Lake,Sangamon,m,1,38.8,7.1,4.2,3.2,5.4,4.6,5.5,4.8,2.6
CL3,2010,CL,Lake,Sangamon,m,1,39,7.9,5,3.5,4.8,5.3,5.9,5.8,2.7
CL5,2010,CL,Lake,Sangamon,m,1,39.9,7.4,4.4,4.2,4.7,5.1,5.4,5.3,3.1
CL6,2010,CL,Lake,Sangamon,m,1,40,8.2,4.4,3.7,5,5.9,5.7,5.2,3.8
CL9,2010,CL,Lake,Sangamon,m,1,42,8.3,4.9,4.8,4.7,4.7,5.5,5.4,2.8
1- first and windsor,2010,FW,Lake,Embarras,f,0,30.16,5.15,3.56,2.3,3.3,3.5,3.3,3.3,2.03
18- first and windsor,2010,FW,Lake,Embarras,f,0,32.12,5.21,3.4,3.5,3.7,3.8,3.6,3.6,2.24
1W 200,2010,FW,Lake,Embarras,f,0,35.3,5.8,3.6,3.1,4.1,4.1,4.1,4,2.2
2- first and windsor,2010,FW,Lake,Embarras,f,0,30.71,5.29,2.8,3.32,4.4,3.43,3.2,3.6,2.64
26- first and windsor,2010,FW,Lake,Embarras,f,0,32.38,5.28,3.14,3.98,3.8,3.8,3.5,3.6,2.4
5- first and windsor,2010,FW,Lake,Embarras,f,0,37.52,7.07,4.14,4.3,5.01,4.66,4.4,4.5,2.69
ICH08-040,2008,FW,Lake,Embarras,f,0,22.4,4.5,3,2.5,3.3,3.8,2.8,4.3,2.1
ICH08-041,2008,FW,Lake,Embarras,f,0,23.8,5,3,2.7,3.9,4.2,2.2,4.7,2.1
ICH08-043,2008,FW,Lake,Embarras,f,0,29.2,6.7,4.2,5,4.9,5.5,3,5.6,2.4
ICH08-046,2008,FW,Lake,Embarras,f,0,30.1,6.5,4.3,4,4,5.8,3,5.7,2.7
ICH08-047,2008,FW,Lake,Embarras,f,0,24.2,5.3,3.4,3.8,4.4,4.8,2.3,4.4,2
ICH08-048,2008,FW,Lake,Embarras,f,0,29.9,6.4,4.1,4.4,4.7,5.5,3.2,5.3,2.5
ICH08-051,2008,FW,Lake,Embarras,f,0,30.8,6.7,4.2,4.8,6.2,5.3,2.5,6.5,2.6
ICH08-053,2008,FW,Lake,Embarras,f,0,29.8,6.5,4.3,4.4,4.7,5.4,3.1,5.7,2.6
ICH08-054,2008,FW,Lake,Embarras,f,0,20.4,4.2,2.7,3,3.8,4.1,1.7,4,1.9
ICH08-056,2008,FW,Lake,Embarras,f,0,28.1,6.5,4,4.1,4.7,5.5,2.8,5.3,2.5
10- first and windsor,2010,FW,Lake,Embarras,f,1,40.25,7.34,4.04,4.3,4.2,4.91,5,4.6,2.76
1W 203,2010,FW,Lake,Embarras,f,1,33.9,5.4,3.6,3,4.2,3.9,3.4,3.9,2.5
ICH08-055,2008,FW,Lake,Embarras,f,1,31,6.9,4.2,4.1,5.3,5.6,3.1,5.9,2.6
13- first and windsor,2010,FW,Lake,Embarras,m,0,32.95,5.52,3.82,4.16,4.6,4.16,3.6,3.7,2.33
14- first and windsor,2010,FW,Lake,Embarras,m,0,40.01,7.13,4.68,4.82,5.19,5.32,4.8,4.6,2.6
15- first and windsor,2010,FW,Lake,Embarras,m,0,29.86,4.82,3.13,3.56,4.2,3.43,3.4,3.6,1.98
1W 202,2010,FW,Lake,Embarras,m,0,31,5,3.4,2.5,3.7,3.8,3.3,4,2.3
1W 204,2010,FW,Lake,Embarras,m,0,27.4,4.2,3,2.4,3.2,3,2.4,3.1,1.9
25- first and windsor,2010,FW,Lake,Embarras,m,0,37,6.48,3.43,3.9,4.64,4.2,4,4.4,2.59
first and windsor - 14,2010,FW,Lake,Embarras,m,0,32.65,5.78,3.46,3.94,4.6,3.74,4.1,3.8,2.3
first and windsor 13,2010,FW,Lake,Embarras,m,0,28.54,4.55,2.93,3.58,3.6,3.21,3,3.7,2.17
first and windsor 16,2010,FW,Lake,Embarras,m,0,31.2,4.92,3.27,3.82,3.6,3.49,3.4,3.6,2.01
first and windsor 17,2010,FW,Lake,Embarras,m,0,28.36,4.32,2.83,3.42,2.9,3.42,3,2.9,2.2
ICH08-042,2008,FW,Lake,Embarras,m,0,22.7,4.4,3.1,2.5,3.4,4,2.9,4.2,1.9
ICH08-045,2008,FW,Lake,Embarras,m,0,29.9,4.5,4.3,4.1,4.7,5.2,2.8,5.6,2.6
ICH08-049,2008,FW,Lake,Embarras,m,0,32.4,7.9,4.6,5.1,5.9,6.3,3.2,6,3.1
ICH08-050,2008,FW,Lake,Embarras,m,0,31.2,7.1,4.2,5,5.8,5.5,2.8,6,2.5
ICH08-057,2008,FW,Lake,Embarras,m,0,15.3,3.1,2,2,2.7,2.7,1.6,3,1.6
ICH08-058,2008,FW,Lake,Embarras,m,0,29.2,6.6,4,4.2,5,5.7,3.4,5.4,2.1
ICH08-044,2008,FW,Lake,Embarras,m,1,31.6,7.5,4.5,4.9,5.7,6.5,3.1,6.2,2.9
ICH08-052,2008,FW,Lake,Embarras,m,1,33.8,8.1,4.9,5.8,6.4,6.1,3.2,6.4,2.5
ICH08-084,2008,HD,Lake,Vermilion,f,0,29.1,6.5,4.3,3.8,5.9,5.6,3.3,6.2,2.9
ICH08-085,2008,HD,Lake,Vermilion,f,0,31.8,6.9,4.7,5.4,5.5,5.5,3.7,6.2,2.9
ICH08-086,2008,HD,Lake,Vermilion,f,0,31,7.8,5.1,5.7,6.4,6.3,3.8,6.4,2.8
ICH08-087,2008,HD,Lake,Vermilion,f,0,24.8,4.9,3.5,3.5,4.3,4.7,5.3,5.1,2.5
ICH08-092,2008,HD,Lake,Vermilion,f,0,18.1,3.6,2.3,2.7,3.8,3.3,2.3,4,1.9
ICH08-091,2008,HD,Lake,Vermilion,f,1,29.1,6.4,4.2,4.7,5.2,5.5,3.5,5.6,2.7
ICH08-083,2008,HD,Lake,Vermilion,m,0,27.2,6,3.6,4.6,4.7,5,3.3,5.1,2.5
ICH08-088,2008,HD,Lake,Vermilion,m,0,34.4,8,4.7,5.1,6.2,6.2,3.5,6.1,2.9
ICH08-089,2008,HD,Lake,Vermilion,m,0,30.1,7.3,4.6,4.7,6.4,5.6,3.5,6,2.8
ICH08-090,2008,HD,Lake,Vermilion,m,0,30,6.1,4.3,4.9,5.6,5.7,3.5,5.7,2.7
29- HL,2010,HL,Lake,Vermilion,f,0,32.66,4.71,3.3,3.02,3.9,3.92,3.2,3.7,2.51
46- HL,2010,HL,Lake,Vermilion,f,0,30.81,4.78,3.56,3.66,4.3,3.67,2.9,3.4,2.36
54- HL,2010,HL,Lake,Vermilion,f,0,24.07,3.66,2.5,2.2,3.21,3.06,2.4,2.9,1.92
HL 109,2010,HL,Lake,Vermilion,f,0,32.4,5.4,3.63,3.91,4.34,4.2,3.9,3.9,2.4
HL 111,2010,HL,Lake,Vermilion,f,0,28.4,4.9,3.16,3.75,3.62,3.6,3.5,3.5,2.1
HL 56,2010,HL,Lake,Vermilion,f,0,37.38,6.05,4.22,3.84,4.47,4.83,4.3,4.5,2.79
ICH08-030,2008,HL,Lake,Vermilion,f,0,25.7,5.4,3.6,3.7,4.4,4.5,2.6,5,2.6
ICH08-032,2008,HL,Lake,Vermilion,f,0,22.7,5,3.1,2.7,4.3,3.9,2.6,4.4,2.1
ICH08-034,2008,HL,Lake,Vermilion,f,0,30.5,6.2,4,4.4,4.7,5,3.4,6.5,2.6
ICH08-035,2008,HL,Lake,Vermilion,f,0,29.4,6.3,4.1,3.9,5.4,5,3.1,3.4,2.9
ICH08-036,2008,HL,Lake,Vermilion,f,0,32,7,4.5,5.3,5.4,5.8,3.7,5.8,3.1
ICH08-037,2008,HL,Lake,Vermilion,f,0,24.2,5.6,3.5,3.3,4.5,4.5,2.6,4.4,2.3
ICH08-038,2008,HL,Lake,Vermilion,f,0,18.1,3.6,2.3,2,3.2,3.1,2.1,3.6,1.9
ICH08-039,2008,HL,Lake,Vermilion,f,0,18.8,3.7,2.8,2.5,3.7,3.1,2,3.8,1.7
50- HL,2010,HL,Lake,Vermilion,f,1,37.08,5.85,4.72,4.08,4.31,4.68,4.3,4.2,2.77
HL 110,2010,HL,Lake,Vermilion,f,1,35,5.8,3.6,3.6,4.3,4.4,4.3,4.3,2.7
HL105,2010,HL,Lake,Vermilion,f,1,34.5,6.2,3.98,3.99,5.23,4.9,4.6,4.5,2.7
HL107,2010,HL,Lake,Vermilion,f,1,37.9,6.3,4.53,4.57,5.09,4.8,4.9,4.6,2.7
30- HL,2010,HL,Lake,Vermilion,m,0,27.75,4.22,3.48,2.7,4.11,3.65,2.9,3.5,2.1
34- HL,2010,HL,Lake,Vermilion,m,0,39.92,6.72,4.66,4.63,5.72,5.26,4.8,4.9,2.91
38- HL,2010,HL,Lake,Vermilion,m,0,36.49,5.85,4.02,4.03,5.16,4.76,4,4.5,2.5
44- HL,2010,HL,Lake,Vermilion,m,0,34.01,5.05,4.5,3.87,4.3,4.51,3.8,4,2.59
48- HL,2010,HL,Lake,Vermilion,m,0,37.38,5.56,3.83,4.18,3.8,4.44,3.6,4.3,2.79
HL 112,2010,HL,Lake,Vermilion,m,0,24.1,3.9,2.74,2.54,3.37,3.1,2.9,2.8,1.9
HL 113,2010,HL,Lake,Vermilion,m,0,29,5,2.7,2.8,3.8,3.8,3.5,3.7,2.2
HL 59,2010,HL,Lake,Vermilion,m,0,29.61,4.94,3.27,2.73,3.81,3.96,3,3.7,2.05
HL 60 ,2010,HL,Lake,Vermilion,m,0,22.4,3.19,1.99,2.7,2.3,2.86,2.3,2.6,1.94
HL102,2010,HL,Lake,Vermilion,m,0,26.1,4.8,2.62,2.98,3.7,3.66,3.1,3.4,2.1
HL103,2010,HL,Lake,Vermilion,m,0,20.5,2.84,2.19,2.58,2.58,2.77,2.5,2.3,1.8
HL104,2010,HL,Lake,Vermilion,m,0,28.6,4.7,3.08,3.28,4.22,4.13,3.3,3.8,2.2
ICH08-029,2008,HL,Lake,Vermilion,m,0,35.2,7.7,5.1,5.5,6.8,6,3.8,6.2,3.1
ICH08-031,2008,HL,Lake,Vermilion,m,0,30.9,6.8,4.3,4.8,5.7,5.3,3.2,5.6,3.1
ICH08-033,2008,HL,Lake,Vermilion,m,0,27.9,6.2,3.7,4.4,5.5,4.8,2.8,5,2.7
HL 108,2010,HL,Lake,Vermilion,m,1,37.4,7.2,4.46,4.78,5.73,5.3,4.6,5.1,2.8
HL 58,2010,HL,Lake,Vermilion,m,1,42.24,7.83,5.6,4.61,5.82,5.71,5.1,5.2,3.12
HL101,2010,HL,Lake,Vermilion,m,1,44.8,7.9,5.52,5.78,6.5,5.94,4.81,6.41,3.28
HL106,2010,HL,Lake,Vermilion,m,1,34.45,5.98,3.98,3.62,4.58,4.67,4.2,4,2.8
ICH08-028,2008,HL,Lake,Vermilion,m,1,43.7,11.3,7,7.2,8.6,8.4,4.5,7.6,4
HP 15,2010,HP,Stream,Vermilion,f,0,22.6,3.72,2.85,3.51,3,3.27,3.3,3.4,1.84
HP 16 ,2010,HP,Stream,Vermilion,f,0,31.88,5.42,3.52,4.48,4.4,4.22,3.7,3.6,2.4
HP 9,2010,HP,Stream,Vermilion,f,0,26.98,4.42,2.84,3.54,3.8,3.57,4.3,3.1,2.04
HP 20,2010,HP,Stream,Vermilion,f,1,47.72,8.8,6.08,6.82,5.9,6.81,6.8,5.9,3.01
HP 5,2010,HP,Stream,Vermilion,f,1,56.77,10.48,7.25,7.7,7,7.4,8.1,6.4,3.56
HP 11,2010,HP,Stream,Vermilion,m,0,36.72,6.46,4.14,4.71,5.6,4.64,4.4,4.6,2.6
HP 13 ,2010,HP,Stream,Vermilion,m,0,30.74,5.38,3.69,4.14,4.4,3.85,3.7,3.8,2.38
HP 17,2010,HP,Stream,Vermilion,m,0,28.4,3.91,2.78,3.68,3.3,3.1,2.8,3.1,1.77
HP 18,2010,HP,Stream,Vermilion,m,0,26.86,4.01,2.78,4.69,3.6,3.2,2.8,2.9,1.88
HP 19,2010,HP,Stream,Vermilion,m,0,31.37,4.73,3.49,5.91,3.7,3.66,3.9,3.4,2.23
HP 7,2010,HP,Stream,Vermilion,m,0,32.78,5.38,3.86,4.26,4.5,4.34,3.8,4,2.55
HP 8,2010,HP,Stream,Vermilion,m,0,26.57,4.02,2.82,3.52,3.6,3.01,3.9,3.1,1.9
HP 10,2010,HP,Stream,Vermilion,m,1,48.74,9.88,6,7.2,7.2,6.66,6.8,5.8,3.29
HP 12,2010,HP,Stream,Vermilion,m,1,35.32,6.12,3.98,4.78,5.3,4.66,4.3,4,2.49
HP 14,2010,HP,Stream,Vermilion,m,1,46.15,9.42,6.08,7.48,6.7,6.67,6,5.3,3.1
HP 2,2010,HP,Stream,Vermilion,m,1,47.07,9.84,6.39,7.1,6.9,6.59,6.4,5.9,3.34
HP 3,2010,HP,Stream,Vermilion,m,1,56.65,11.99,7.81,8.61,8.9,7.74,7.7,6.5,3.68
HP 4,2010,HP,Stream,Vermilion,m,1,48.74,9.85,6.49,7.42,7.6,6.51,6.4,5.8,3.21
HP 6,2010,HP,Stream,Vermilion,m,1,54.89,11.37,7.89,8.16,8.2,7.74,7.5,6.5,3.6
KC 12,2010,KC,Stream,Sangamon,f,0,29.4,4.6,3.3,2.4,3.3,3.5,3.3,3.1,1.9
KC 14,2010,KC,Stream,Sangamon,f,0,28.8,4.3,2.6,2,2.8,3.2,3.1,3.2,1.9
KC 15,2010,KC,Stream,Sangamon,f,0,22.7,3.5,2.5,1.7,2.4,2.7,2.3,2.2,1.6
KC 30,2010,KC,Stream,Sangamon,f,0,32.4,5.1,3.8,3.1,4.1,3.9,3.6,4.1,2.2
KC 31,2010,KC,Stream,Sangamon,f,0,32.5,5.8,3.8,3.3,4.1,4.3,4.1,3.5,2
KC 33,2010,KC,Stream,Sangamon,f,0,25.5,4,2.4,1.8,3,2.9,2.5,3,1.9
KC 36,2010,KC,Stream,Sangamon,f,0,23.5,3.6,2.5,1.9,2.8,2.7,2.5,2.5,1.6
KC 38,2010,KC,Stream,Sangamon,f,0,30.3,5,3.5,2.3,3.7,3.5,3.2,3.6,2
KC 40,2010,KC,Stream,Sangamon,f,0,29.7,4.7,3,2.9,3.7,3.5,3.1,3.3,2
KC 41,2010,KC,Stream,Sangamon,f,0,34.4,5.6,3.6,2.5,4.1,3.9,4,3.9,2
KC 42,2010,KC,Stream,Sangamon,f,0,32,5.5,3.2,3,3.8,3.8,3.5,3.5,2.1
KC 43,2010,KC,Stream,Sangamon,f,0,22.1,3.4,2.2,1.3,2.8,2.4,2,2.5,1.4
KC 8,2010,KC,Stream,Sangamon,f,0,22.6,3.5,2.2,1.5,2.7,2.6,2.3,2.4,1.7
KC 9,2010,KC,Stream,Sangamon,f,0,35.9,6.6,4,3.5,4.8,4.6,4.4,4.3,2.4
KC 13,2010,KC,Stream,Sangamon,f,1,31.7,5.3,3.6,2.8,4.1,3.4,3.6,3.3,2
KC 18,2010,KC,Stream,Sangamon,f,1,32.4,5.4,3.4,3,3.9,3.8,3.7,3.7,2.1
KC 19,2010,KC,Stream,Sangamon,f,1,33.9,5.7,3.8,2.9,3.8,4.1,3.7,3.8,2.2
KC 22,2010,KC,Stream,Sangamon,f,1,34.6,5.8,3.8,3.2,4.4,4.3,3.8,3.9,2.4
KC 23,2010,KC,Stream,Sangamon,f,1,34.7,5.7,3.9,3.2,3.9,4.2,4,3.8,2.2
KC 24,2010,KC,Stream,Sangamon,f,1,34.4,5.7,3.8,3.1,4.6,4.5,4.1,3.9,2.3
KC 28,2010,KC,Stream,Sangamon,f,1,32.7,5.7,4.8,3.4,4.2,3.9,4.2,3.8,2
KC 37,2010,KC,Stream,Sangamon,f,1,33.4,5.4,3.6,2.8,4.4,3.9,3.7,3.8,2.1
KC 4,2010,KC,Stream,Sangamon,f,1,31.7,4.9,3.3,2.7,3.6,3.9,3.3,3.5,1.9
KC 10,2010,KC,Stream,Sangamon,m,0,34.4,5.5,3.7,3.8,4.3,4.5,3.9,4.1,2.5
KC 11,2010,KC,Stream,Sangamon,m,0,31.1,4.5,3.3,2.3,3.7,3.8,3.4,3.4,2.3
